box_id,layer,box_number,hour,simulation_count,mean_simulated_value,stdev_simulated_value,min_simulated_value,p05_simulated_value,p50_simulated_value,p95_simulated_value,max_simulated_value,risk_percent,observed_average,observed_stdev
L2B7,2,7,24,500,2.6562152811969866,2.144609644796983,-3.9495578721005113,-1.056616945408407,2.6177993327091227,6.35877232217255,9.070559612195474,24.8,2.8,2.118962010041709
L2B8,2,8,0,500,-0.954237319229945,0.2720732617643379,-1.979862197536658,-1.3650259760317625,-0.9556032064850422,-0.4976604902212375,-0.1083051495309063,0.0,-0.94,0.2701851217221254
L2B8,2,8,6,500,-0.952178107415157,0.2757283806149367,-1.757673957404831,-1.3915836835165858,-0.9579928612989397,-0.5165842208383172,-0.0564298539880649,0.0,-0.96,0.2792848008753793
L2B8,2,8,12,500,0.22740331551476856,1.0232261450288964,-2.3858082669208924,-1.521441746225673,0.2452324953884005,1.742800456470839,4.126988966639906,0.2,0.22,1.0329569206893383
L2B8,2,8,18,500,1.919854205449245,1.665467779221678,-3.0048481014010635,-0.9821972969292544,1.9028705328090263,4.4864753716084165,7.504433252495918,9.6,1.86,1.7472836060582722
L2B8,2,8,24,500,3.76611911737209,1.357638838987384,-0.2758999640841368,1.6064099764555433,3.685622863698873,6.002346950854789,8.203286133202711,42.0,3.72,1.3809417076763233
L2B9,2,9,0,500,-0.921698972104268,0.30045332736161307,-1.8445164328221844,-1.402869844714226,-0.9197700733002512,-0.4039175794603344,-0.0597476152920875,0.0,-0.92,0.3033150177620621
L2B9,2,9,6,500,-0.2872448387529624,0.9454679153089004,-2.76027410848291,-1.8914122312001014,-0.26698924213271213,1.235447209857971,2.480254365423142,0.0,-0.3,1.0124228365658292
L2B9,2,9,12,500,0.5127705407369834,1.8272790171162094,-4.94557664512624,-2.4285493920359995,0.4804046055053689,3.378943636684126,5.76117639147996,2.6,0.74,1.820164827701052
L2B9,2,9,18,500,1.9999171623498833,2.311621253389121,-4.802804985266289,-1.5239240461447137,1.9339406256961227,5.794579040086768,9.012269575111182,20.0,2.0200000000000005,2.385791273351464
L2B9,2,9,24,500,3.3533796866231316,1.9554602705807413,-2.454986083849202,-0.01448716167317795,3.413913257370194,6.705123975198137,9.00397195218375,35.4,3.38,1.9854470529329156
L3B11,3,11,0,500,-0.6913727234923612,0.3335412010299898,-1.7393236249467106,-1.2236144648564975,-0.6891285679341067,-0.13501860123031484,0.0969560924143707,0.0,-0.68,0.3346640106136302
L3B11,3,11,6,500,-0.5165803299776562,0.6365167988553144,-3.143699108745354,-1.58963012618118,-0.535825009550089,0.5115291110548207,1.392415968997407,0.0,-0.4800000000000001,0.6418722614352484
L3B11,3,11,12,500,0.6031730025483601,1.8032524948842032,-4.34699362838789,-2.2580249813799815,0.5482673096007509,3.407919981578713,5.495058265094442,3.5999999999999996,0.5999999999999999,1.8069310999592647
L3B11,3,11,18,500,1.6934989953792383,1.6269352677156137,-2.897902426714364,-0.8484970904670215,1.6047113240050042,4.558337254215609,7.274218541894383,7.000000000000001,1.6,1.6201851746019649
L3B11,3,11,24,500,2.8732592584127197,1.9671098570308168,-3.481571156559407,-0.37303743709550347,2.811198265926495,6.216930011299226,8.77070258480921,26.8,2.78,1.930543964793343
L3B12,3,12,0,500,-0.6309755677104169,0.19874908973226962,-1.2643514938778273,-0.9647750983737802,-0.6276723573414675,-0.31600548611903384,-0.0097712029597564,0.0,-0.6399999999999999,0.1949358868961796
