box_id,layer,box_number,hour,x_inches,y_inches,z_inches,exposed_surfaces,observed_mean,observed_stdev,observed_trial_count,simulation_count,mean_simulated_value,stdev_simulated_value,p05_simulated_value,p50_simulated_value,p95_simulated_value,risk_percent,mean_difference,absolute_mean_difference,observed_is_risky,monte_carlo_is_risky,risk_agreement,observed_inside_5_95_interval
L3B13,3,13,12,8.0,27.75,15.0,2,1.16,2.021880312976018,5,500,1.144459798767088,2.047638308860121,-2.150216413926064,1.1041721295179576,4.565536674254814,7.399999999999999,-0.015540201232911999,0.015540201232911999,False,False,True,True
L3B13,3,13,18,8.0,27.75,15.0,2,2.96,2.976239237695787,5,500,2.8479099864511643,3.0045189955636538,-1.7852528150222258,2.598174974914385,7.964797487081261,34.4,-0.11209001354883563,0.11209001354883563,False,False,True,True
L3B13,3,13,24,8.0,27.75,15.0,2,4.54,3.0517208260258677,5,500,4.4412210321561805,3.08321137298761,-0.4777234968497077,4.297167984630915,9.8338683047052,54.400000000000006,-0.09877896784381957,0.09877896784381957,True,True,True,True
L3B14,3,14,0,24.0,27.75,15.0,1,-0.76,0.1140175425099138,5,500,-0.7688666139989574,0.1156823415029029,-0.9620010587403532,-0.7660887035603088,-0.5942564618868286,0.0,-0.008866613998957384,0.008866613998957384,False,False,True,True
L3B14,3,14,6,24.0,27.75,15.0,1,-0.34,0.920869154657707,5,500,-0.3946914470540951,0.9593803526200282,-2.1077054655569416,-0.413914440028075,1.131436076014006,0.0,-0.054691447054095066,0.054691447054095066,False,False,True,True
L3B14,3,14,12,24.0,27.75,15.0,1,-0.12,1.3084341787036902,5,500,-0.1310267467174314,1.2829001897253456,-2.075298067326805,-0.0708722055832557,1.8964333232900228,0.0,-0.011026746717431396,0.011026746717431396,False,False,True,True
L3B14,3,14,18,24.0,27.75,15.0,1,0.4599999999999999,2.1419617176784462,5,500,0.4256216249995007,2.0744006900464,-2.9160896238345058,0.4107203601740368,3.879751659856644,4.2,-0.03437837500049923,0.03437837500049923,False,False,True,True
L3B14,3,14,24,24.0,27.75,15.0,1,1.18,2.3199137915017447,5,500,1.1206977280493235,2.266131755934101,-2.728108581635853,1.0565048242374786,4.855439193494208,9.6,-0.05930227195067639,0.05930227195067639,False,False,True,True
L3B15,3,15,0,40.0,27.75,15.0,2,-0.52,0.4764451699828638,5,500,-0.5521039073080403,0.467348455763639,-1.3646666552293216,-0.5171563831196975,0.1247503512379521,0.0,-0.03210390730804025,0.03210390730804025,False,False,True,True
L3B15,3,15,6,40.0,27.75,15.0,2,0.0599999999999999,0.907193474403338,5,500,0.0679157798362923,0.9134668893836224,-1.4538203590088898,0.0841392888707832,1.525396353390986,0.0,0.007915779836292394,0.007915779836292394,False,False,True,True
L3B15,3,15,12,40.0,27.75,15.0,2,1.06,1.6786899654194636,5,500,1.0599524149097217,1.5936356728591643,-1.5806948295352683,1.1094926410810435,3.5824087785430896,3.0,-4.7585090278357e-05,4.7585090278357e-05,False,False,True,True
L3B15,3,15,18,40.0,27.75,15.0,2,1.64,1.6195678435928518,5,500,1.588380321011165,1.6841212212384895,-1.1466476665121597,1.542452841061381,4.343466604965032,8.6,-0.051619678988834794,0.051619678988834794,False,False,True,True
