box_id,layer,box_number,hour,risky_observations,total_observations,risk_percent
L4B18,4,18,0,0,4,0.0
L4B18,4,18,2,0,4,0.0
L4B18,4,18,4,0,4,0.0
L4B18,4,18,6,0,4,0.0
L4B18,4,18,8,0,4,0.0
L4B18,4,18,10,0,4,0.0
L4B18,4,18,12,0,4,0.0
L4B18,4,18,14,1,4,25.0
L4B18,4,18,16,2,4,50.0
L4B18,4,18,18,3,4,75.0
L4B18,4,18,20,4,4,100.0
L4B18,4,18,22,4,4,100.0
L4B18,4,18,24,4,4,100.0
L4B19,4,19,0,0,4,0.0
L4B19,4,19,2,0,4,0.0
L4B19,4,19,4,0,4,0.0
L4B19,4,19,6,0,4,0.0
L4B19,4,19,8,0,4,0.0
L4B19,4,19,10,0,4,0.0
L4B19,4,19,12,0,4,0.0
L4B19,4,19,14,0,4,0.0
L4B19,4,19,16,0,4,0.0
L4B19,4,19,18,1,4,25.0
L4B19,4,19,20,1,4,25.0
L4B19,4,19,22,2,4,50.0
L4B19,4,19,24,2,4,50.0
L4B20,4,20,0,0,4,0.0
L4B20,4,20,2,0,4,0.0
L4B20,4,20,4,0,4,0.0
L4B20,4,20,6,0,4,0.0
L4B20,4,20,8,0,4,0.0
L4B20,4,20,10,0,4,0.0
L4B20,4,20,12,1,4,25.0
L4B20,4,20,14,1,4,25.0
L4B20,4,20,16,1,4,25.0
L4B20,4,20,18,2,4,50.0
L4B20,4,20,20,2,4,50.0
L4B20,4,20,22,3,4,75.0
L4B20,4,20,24,4,4,100.0
